column_name,column_type,null,key,default,extra,table_name
Id,VARCHAR,YES,,,,claims
PATIENTID,VARCHAR,YES,,,,claims
PROVIDERID,VARCHAR,YES,,,,claims
PRIMARYPATIENTINSURANCEID,VARCHAR,YES,,,,claims
SECONDARYPATIENTINSURANCEID,VARCHAR,YES,,,,claims
DEPARTMENTID,BIGINT,YES,,,,claims
PATIENTDEPARTMENTID,BIGINT,YES,,,,claims
DIAGNOSIS1,BIGINT,YES,,,,claims
DIAGNOSIS2,DOUBLE,YES,,,,claims
DIAGNOSIS3,DOUBLE,YES,,,,claims
DIAGNOSIS4,DOUBLE,YES,,,,claims
DIAGNOSIS5,DOUBLE,YES,,,,claims
DIAGNOSIS6,DOUBLE,YES,,,,claims
DIAGNOSIS7,DOUBLE,YES,,,,claims
DIAGNOSIS8,DOUBLE,YES,,,,claims
REFERRINGPROVIDERID,DOUBLE,YES,,,,claims
APPOINTMENTID,VARCHAR,YES,,,,claims
CURRENTILLNESSDATE,VARCHAR,YES,,,,claims
SERVICEDATE,VARCHAR,YES,,,,claims
SUPERVISINGPROVIDERID,VARCHAR,YES,,,,claims
STATUS1,VARCHAR,YES,,,,claims
STATUS2,VARCHAR,YES,,,,claims
STATUSP,VARCHAR,YES,,,,claims
OUTSTANDING1,DOUBLE,YES,,,,claims
OUTSTANDING2,DOUBLE,YES,,,,claims
OUTSTANDINGP,DOUBLE,YES,,,,claims
LASTBILLEDDATE1,VARCHAR,YES,,,,claims
LASTBILLEDDATE2,VARCHAR,YES,,,,claims
LASTBILLEDDATEP,VARCHAR,YES,,,,claims
HEALTHCARECLAIMTYPEID1,BIGINT,YES,,,,claims
HEALTHCARECLAIMTYPEID2,BIGINT,YES,,,,claims
ID,VARCHAR,YES,,,,claims_transactions
CLAIMID,VARCHAR,YES,,,,claims_transactions
CHARGEID,BIGINT,YES,,,,claims_transactions
PATIENTID,VARCHAR,YES,,,,claims_transactions
TYPE,VARCHAR,YES,,,,claims_transactions
AMOUNT,DOUBLE,YES,,,,claims_transactions
METHOD,VARCHAR,YES,,,,claims_transactions
FROMDATE,VARCHAR,YES,,,,claims_transactions
TODATE,VARCHAR,YES,,,,claims_transactions
PLACEOFSERVICE,VARCHAR,YES,,,,claims_transactions
PROCEDURECODE,BIGINT,YES,,,,claims_transactions
MODIFIER1,DOUBLE,YES,,,,claims_transactions
MODIFIER2,DOUBLE,YES,,,,claims_transactions
DIAGNOSISREF1,BIGINT,YES,,,,claims_transactions
DIAGNOSISREF2,DOUBLE,YES,,,,claims_transactions
DIAGNOSISREF3,DOUBLE,YES,,,,claims_transactions
DIAGNOSISREF4,DOUBLE,YES,,,,claims_transactions
UNITS,BIGINT,YES,,,,claims_transactions
DEPARTMENTID,BIGINT,YES,,,,claims_transactions
NOTES,VARCHAR,YES,,,,claims_transactions
UNITAMOUNT,DOUBLE,YES,,,,claims_transactions
TRANSFEROUTID,DOUBLE,YES,,,,claims_transactions
TRANSFERTYPE,VARCHAR,YES,,,,claims_transactions
PAYMENTS,DOUBLE,YES,,,,claims_transactions
ADJUSTMENTS,DOUBLE,YES,,,,claims_transactions
TRANSFERS,DOUBLE,YES,,,,claims_transactions
OUTSTANDING,DOUBLE,YES,,,,claims_transactions
APPOINTMENTID,VARCHAR,YES,,,,claims_transactions
LINENOTE,DOUBLE,YES,,,,claims_transactions
PATIENTINSURANCEID,VARCHAR,YES,,,,claims_transactions
FEESCHEDULEID,BIGINT,YES,,,,claims_transactions
PROVIDERID,VARCHAR,YES,,,,claims_transactions
SUPERVISINGPROVIDERID,VARCHAR,YES,,,,claims_transactions
Id,VARCHAR,YES,,,,patients
BIRTHDATE,VARCHAR,YES,,,,patients
DEATHDATE,VARCHAR,YES,,,,patients
SSN,VARCHAR,YES,,,,patients
DRIVERS,VARCHAR,YES,,,,patients
PASSPORT,VARCHAR,YES,,,,patients
PREFIX,VARCHAR,YES,,,,patients
FIRST,VARCHAR,YES,,,,patients
MIDDLE,VARCHAR,YES,,,,patients
LAST,VARCHAR,YES,,,,patients
SUFFIX,VARCHAR,YES,,,,patients
MAIDEN,VARCHAR,YES,,,,patients
MARITAL,VARCHAR,YES,,,,patients
RACE,VARCHAR,YES,,,,patients
ETHNICITY,VARCHAR,YES,,,,patients
GENDER,VARCHAR,YES,,,,patients
BIRTHPLACE,VARCHAR,YES,,,,patients
ADDRESS,VARCHAR,YES,,,,patients
CITY,VARCHAR,YES,,,,patients
STATE,VARCHAR,YES,,,,patients
COUNTY,VARCHAR,YES,,,,patients
FIPS,DOUBLE,YES,,,,patients
ZIP,BIGINT,YES,,,,patients
LAT,DOUBLE,YES,,,,patients
LON,DOUBLE,YES,,,,patients
HEALTHCARE_EXPENSES,DOUBLE,YES,,,,patients
HEALTHCARE_COVERAGE,DOUBLE,YES,,,,patients
INCOME,BIGINT,YES,,,,patients
Id,VARCHAR,YES,,,,encounters
START,VARCHAR,YES,,,,encounters
STOP,VARCHAR,YES,,,,encounters
PATIENT,VARCHAR,YES,,,,encounters
ORGANIZATION,VARCHAR,YES,,,,encounters
PROVIDER,VARCHAR,YES,,,,encounters
PAYER,VARCHAR,YES,,,,encounters
ENCOUNTERCLASS,VARCHAR,YES,,,,encounters
CODE,BIGINT,YES,,,,encounters
DESCRIPTION,VARCHAR,YES,,,,encounters
BASE_ENCOUNTER_COST,DOUBLE,YES,,,,encounters
TOTAL_CLAIM_COST,DOUBLE,YES,,,,encounters
PAYER_COVERAGE,DOUBLE,YES,,,,encounters
REASONCODE,DOUBLE,YES,,,,encounters
REASONDESCRIPTION,VARCHAR,YES,,,,encounters
Id,VARCHAR,YES,,,,payers
NAME,VARCHAR,YES,,,,payers
OWNERSHIP,VARCHAR,YES,,,,payers
ADDRESS,DOUBLE,YES,,,,payers
CITY,DOUBLE,YES,,,,payers
STATE_HEADQUARTERED,DOUBLE,YES,,,,payers
ZIP,DOUBLE,YES,,,,payers
PHONE,DOUBLE,YES,,,,payers
AMOUNT_COVERED,DOUBLE,YES,,,,payers
AMOUNT_UNCOVERED,DOUBLE,YES,,,,payers
REVENUE,DOUBLE,YES,,,,payers
COVERED_ENCOUNTERS,BIGINT,YES,,,,payers
UNCOVERED_ENCOUNTERS,BIGINT,YES,,,,payers
COVERED_MEDICATIONS,BIGINT,YES,,,,payers
UNCOVERED_MEDICATIONS,BIGINT,YES,,,,payers
COVERED_PROCEDURES,BIGINT,YES,,,,payers
UNCOVERED_PROCEDURES,BIGINT,YES,,,,payers
COVERED_IMMUNIZATIONS,BIGINT,YES,,,,payers
UNCOVERED_IMMUNIZATIONS,BIGINT,YES,,,,payers
UNIQUE_CUSTOMERS,BIGINT,YES,,,,payers
QOLS_AVG,DOUBLE,YES,,,,payers
MEMBER_MONTHS,BIGINT,YES,,,,payers
Id,VARCHAR,YES,,,,providers
ORGANIZATION,VARCHAR,YES,,,,providers
NAME,VARCHAR,YES,,,,providers
GENDER,VARCHAR,YES,,,,providers
SPECIALITY,VARCHAR,YES,,,,providers
ADDRESS,VARCHAR,YES,,,,providers
CITY,VARCHAR,YES,,,,providers
STATE,VARCHAR,YES,,,,providers
ZIP,BIGINT,YES,,,,providers
LAT,DOUBLE,YES,,,,providers
LON,DOUBLE,YES,,,,providers
ENCOUNTERS,BIGINT,YES,,,,providers
PROCEDURES,BIGINT,YES,,,,providers
Id,VARCHAR,YES,,,,organizations
NAME,VARCHAR,YES,,,,organizations
ADDRESS,VARCHAR,YES,,,,organizations
CITY,VARCHAR,YES,,,,organizations
STATE,VARCHAR,YES,,,,organizations
ZIP,BIGINT,YES,,,,organizations
LAT,DOUBLE,YES,,,,organizations
LON,DOUBLE,YES,,,,organizations
PHONE,VARCHAR,YES,,,,organizations
REVENUE,DOUBLE,YES,,,,organizations
UTILIZATION,BIGINT,YES,,,,organizations
START,VARCHAR,YES,,,,procedures
STOP,VARCHAR,YES,,,,procedures
PATIENT,VARCHAR,YES,,,,procedures
ENCOUNTER,VARCHAR,YES,,,,procedures
SYSTEM,VARCHAR,YES,,,,procedures
CODE,BIGINT,YES,,,,procedures
DESCRIPTION,VARCHAR,YES,,,,procedures
BASE_COST,DOUBLE,YES,,,,procedures
REASONCODE,DOUBLE,YES,,,,procedures
REASONDESCRIPTION,VARCHAR,YES,,,,procedures
START,VARCHAR,YES,,,,conditions
STOP,VARCHAR,YES,,,,conditions
PATIENT,VARCHAR,YES,,,,conditions
ENCOUNTER,VARCHAR,YES,,,,conditions
SYSTEM,VARCHAR,YES,,,,conditions
CODE,BIGINT,YES,,,,conditions
DESCRIPTION,VARCHAR,YES,,,,conditions
